秒换台403.23,#genre#
CCTV6,http://115.48.60.143:9901/tsfile/live/0006_1.m3u8
CCTV8,http://115.48.60.143:9901/tsfile/live/0008_1.m3u8
CCTV9,http://115.48.60.143:9901/tsfile/live/1005_1.m3u8
CCTV10,http://115.48.60.143:9901/tsfile/live/0010_1.m3u8
CCTV11,http://115.48.60.143:9901/tsfile/live/0011_1.m3u8
CCTV13,http://115.48.60.143:9901/tsfile/live/0013_1.m3u8
CCTV14,http://115.48.60.143:9901/tsfile/live/0014_1.m3u8
湖南卫视,http://115.48.60.143:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://115.48.60.143:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://115.48.60.143:9901/tsfile/live/0127_1.m3u8
北京卫视,http://115.48.60.143:9901/tsfile/live/0122_1.m3u8
广东卫视,http://115.48.60.143:9901/tsfile/live/0125_1.m3u8
吉林卫视,http://115.48.60.143:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://115.48.60.143:9901/tsfile/live/0121_1.m3u8
黑龙江卫视,http://115.48.60.143:9901/tsfile/live/0143_1.m3u8
安徽卫视,http://115.48.60.143:9901/tsfile/live/0130_1.m3u8
天津卫视,http://115.48.60.143:9901/tsfile/live/0135_1.m3u8
山东卫视,http://115.48.60.143:9901/tsfile/live/0131_1.m3u8
山西卫视,http://115.48.60.143:9901/tsfile/live/0118_1.m3u8
河南卫视,http://115.48.60.143:9901/tsfile/live/0139_1.m3u8
河北卫视,http://115.48.60.143:9901/tsfile/live/0117_1.m3u8
广西卫视,http://115.48.60.143:9901/tsfile/live/0113_1.m3u8
深圳卫视,http://115.48.60.143:9901/tsfile/live/0126_1.m3u8
重庆卫视,http://115.48.60.143:9901/tsfile/live/0142_1.m3u8
贵州卫视,http://115.48.60.143:9901/tsfile/live/0120_1.m3u8
四川卫视,http://115.48.60.143:9901/tsfile/live/0123_1.m3u8
云南卫视,http://115.48.60.143:9901/tsfile/live/0119_1.m3u8
陕西卫视,http://115.48.60.143:9901/tsfile/live/0136_1.m3u8
IPTV3,http://115.48.60.143:9901/tsfile/live/0112_1.m3u8
IPTV5,http://115.48.60.143:9901/tsfile/live/0110_1.m3u8
IPTV6,http://115.48.60.143:9901/tsfile/live/0140_1.m3u8
IPTV8,http://115.48.60.143:9901/tsfile/live/0141_1.m3u8
上海卫视,http://115.48.60.143:9901/tsfile/live/0107_1.m3u8
佳嘉卡通,http://115.48.60.143:9901/tsfile/live/1021_1.m3u8
北京卡通,http://115.48.60.143:9901/tsfile/live/1020_1.m3u8
厦门卫视,http://115.48.60.143:9901/tsfile/live/0129_1.m3u8
安阳公共,http://115.48.60.143:9901/tsfile/live/1016_1.m3u8
安阳新闻综合,http://115.48.60.143:9901/tsfile/live/1014_1.m3u8
安阳科教,http://115.48.60.143:9901/tsfile/live/1017_1.m3u8
梨园,http://115.48.60.143:9901/tsfile/live/1015_1.m3u8
河南公共,http://115.48.60.143:9901/tsfile/live/1012_1.m3u8
河南新农村,http://115.48.60.143:9901/tsfile/live/1013_1.m3u8
河南民生,http://115.48.60.143:9901/tsfile/live/1008_1.m3u8
河南法制,http://115.48.60.143:9901/tsfile/live/1009_1.m3u8
河南电视剧,http://115.48.60.143:9901/tsfile/live/1010_1.m3u8
河南都市,http://115.48.60.143:9901/tsfile/live/1007_1.m3u8
热播剧场,http://115.48.60.143:9901/tsfile/live/0111_1.m3u8
相声小品,http://115.48.60.143:9901/tsfile/live/1034_1.m3u8
福建东南,http://115.48.60.143:9901/tsfile/live/1018_1.m3u8
经典电影,http://115.48.60.143:9901/tsfile/live/1032_1.m3u8
谍战剧场,http://115.48.60.143:9901/tsfile/live/1033_1.m3u8
秒换台399.00,#genre#
CCTV1,http://113.57.161.254:9000/tsfile/live/0001_1.m3u8
CCTV2,http://113.57.161.254:9000/tsfile/live/0002_1.m3u8
CCTV3,http://113.57.161.254:9000/tsfile/live/0003_1.m3u8
CCTV4,http://113.57.161.254:9000/tsfile/live/0004_1.m3u8
CCTV5,http://113.57.161.254:9000/tsfile/live/0005_1.m3u8
CCTV5+,http://113.57.161.254:9000/tsfile/live/0016_1.m3u8
CCTV6,http://113.57.161.254:9000/tsfile/live/0006_1.m3u8
CCTV7,http://113.57.161.254:9000/tsfile/live/0007_1.m3u8
CCTV8,http://113.57.161.254:9000/tsfile/live/0008_1.m3u8
CCTV9,http://113.57.161.254:9000/tsfile/live/0009_1.m3u8
CCTV10,http://113.57.161.254:9000/tsfile/live/0010_1.m3u8
CCTV11,http://113.57.161.254:9000/tsfile/live/0011_1.m3u8
CCTV12,http://113.57.161.254:9000/tsfile/live/0012_1.m3u8
CCTV13,http://113.57.161.254:9000/tsfile/live/0013_1.m3u8
CCTV14,http://113.57.161.254:9000/tsfile/live/0014_1.m3u8
湖南卫视,http://113.57.161.254:9000/tsfile/live/0128_1.m3u8
浙江卫视,http://113.57.161.254:9000/tsfile/live/0124_1.m3u8
江苏卫视,http://113.57.161.254:9000/tsfile/live/0127_1.m3u8
北京卫视,http://113.57.161.254:9000/tsfile/live/0122_1.m3u8
广东卫视,http://113.57.161.254:9000/tsfile/live/0125_1.m3u8
辽宁卫视,http://113.57.161.254:9000/tsfile/live/0121_1.m3u8
黑龙江卫视,http://113.57.161.254:9000/tsfile/live/0143_1.m3u8
安徽卫视,http://113.57.161.254:9000/tsfile/live/0130_1.m3u8
天津卫视,http://113.57.161.254:9000/tsfile/live/0135_1.m3u8
江西卫视,http://113.57.161.254:9000/tsfile/live/0138_1.m3u8
山东卫视,http://113.57.161.254:9000/tsfile/live/0131_1.m3u8
湖北卫视,http://113.57.161.254:9000/tsfile/live/0132_1.m3u8
深圳卫视,http://113.57.161.254:9000/tsfile/live/0126_1.m3u8
贵州卫视,http://113.57.161.254:9000/tsfile/live/0120_1.m3u8
四川卫视,http://113.57.161.254:9000/tsfile/live/0123_1.m3u8
云南卫视,http://113.57.161.254:9000/tsfile/live/0119_1.m3u8
陕西卫视,http://113.57.161.254:9000/tsfile/live/0136_1.m3u8
新疆卫视,http://113.57.161.254:9000/tsfile/live/0110_1.m3u8
上海卫视,http://113.57.161.254:9000/tsfile/live/0107_1.m3u8
卡酷少儿,http://113.57.161.254:9000/tsfile/live/1003_1.m3u8
旅游卫视,http://113.57.161.254:9000/tsfile/live/0114_1.m3u8
湖北电视台,http://113.57.161.254:9000/tsfile/live/1001_1.m3u8
湖北经视,http://113.57.161.254:9000/tsfile/live/1000_1.m3u8
金鹰卡通,http://113.57.161.254:9000/tsfile/live/1002_1.m3u8
秒换台1167.62,#genre#
CHC动作电影,http://113.64.94.145:9901/tsfile/live/1048_1.m3u8
CHC电影,http://113.64.94.145:9901/tsfile/live/1049_1.m3u8
CCTV2,http://113.64.94.145:9901/tsfile/live/1021_1.m3u8
CCTV3,http://113.64.94.145:9901/tsfile/live/1022_1.m3u8
CCTV4,http://113.64.94.145:9901/tsfile/live/1023_1.m3u8
CCTV5,http://113.64.94.145:9901/tsfile/live/1118_1.m3u8
CCTV5,http://113.64.94.145:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://113.64.94.145:9901/tsfile/live/1025_1.m3u8
CCTV6,http://113.64.94.145:9901/tsfile/live/1026_1.m3u8
CCTV7,http://113.64.94.145:9901/tsfile/live/1027_1.m3u8
CCTV8,http://113.64.94.145:9901/tsfile/live/1028_1.m3u8
CCTV9,http://113.64.94.145:9901/tsfile/live/1029_1.m3u8
CCTV10,http://113.64.94.145:9901/tsfile/live/1030_1.m3u8
CCTV11,http://113.64.94.145:9901/tsfile/live/1031_1.m3u8
CCTV12,http://113.64.94.145:9901/tsfile/live/1032_1.m3u8
CCTV13,http://113.64.94.145:9901/tsfile/live/1033_1.m3u8
CCTV14,http://113.64.94.145:9901/tsfile/live/1034_1.m3u8
CCTV15,http://113.64.94.145:9901/tsfile/live/1035_1.m3u8
CCTV17,http://113.64.94.145:9901/tsfile/live/1036_1.m3u8
湖南卫视,http://113.64.94.145:9901/tsfile/live/1053_1.m3u8
浙江卫视,http://113.64.94.145:9901/tsfile/live/1054_1.m3u8
江苏卫视,http://113.64.94.145:9901/tsfile/live/1055_1.m3u8
广东卫视,http://113.64.94.145:9901/tsfile/live/1010_1.m3u8
吉林卫视,http://113.64.94.145:9901/tsfile/live/1076_1.m3u8
辽宁卫视,http://113.64.94.145:9901/tsfile/live/1066_1.m3u8
黑龙江卫视,http://113.64.94.145:9901/tsfile/live/1059_1.m3u8
安徽卫视,http://113.64.94.145:9901/tsfile/live/1070_1.m3u8
东南卫视,http://113.64.94.145:9901/tsfile/live/1075_1.m3u8
天津卫视,http://113.64.94.145:9901/tsfile/live/1061_1.m3u8
江西卫视,http://113.64.94.145:9901/tsfile/live/1063_1.m3u8
山东卫视,http://113.64.94.145:9901/tsfile/live/1062_1.m3u8
山西卫视,http://113.64.94.145:9901/tsfile/live/1081_1.m3u8
河南卫视,http://113.64.94.145:9901/tsfile/live/1078_1.m3u8
河北卫视,http://113.64.94.145:9901/tsfile/live/1074_1.m3u8
湖北卫视,http://113.64.94.145:9901/tsfile/live/1065_1.m3u8
深圳卫视,http://113.64.94.145:9901/tsfile/live/1064_1.m3u8
重庆卫视,http://113.64.94.145:9901/tsfile/live/1073_1.m3u8
贵州卫视,http://113.64.94.145:9901/tsfile/live/1067_1.m3u8
四川卫视,http://113.64.94.145:9901/tsfile/live/1068_1.m3u8
云南卫视,http://113.64.94.145:9901/tsfile/live/1079_1.m3u8
西藏卫视,http://113.64.94.145:9901/tsfile/live/1087_1.m3u8
陕西卫视,http://113.64.94.145:9901/tsfile/live/1080_1.m3u8
青海卫视,http://113.64.94.145:9901/tsfile/live/1083_1.m3u8
兵团卫视,http://113.64.94.145:9901/tsfile/live/1090_1.m3u8
甘肃卫视,http://113.64.94.145:9901/tsfile/live/1089_1.m3u8
宁夏卫视,http://113.64.94.145:9901/tsfile/live/1086_1.m3u8
CHC家庭电影,http://113.64.94.145:9901/tsfile/live/1047_1.m3u8
G导视,http://113.64.94.145:9901/tsfile/live/1050_1.m3u8
上海卫视,http://113.64.94.145:9901/tsfile/live/1056_1.m3u8
上海纪实,http://113.64.94.145:9901/tsfile/live/1072_1.m3u8
中国教育,http://113.64.94.145:9901/tsfile/live/1071_1.m3u8
丰顺影视,http://113.64.94.145:9901/tsfile/live/1085_1.m3u8
五华,http://113.64.94.145:9901/tsfile/live/1000_1.m3u8
佳嘉卡通,http://113.64.94.145:9901/tsfile/live/1045_1.m3u8
南方一,http://113.64.94.145:9901/tsfile/live/1016_1.m3u8
南方二,http://113.64.94.145:9901/tsfile/live/1017_1.m3u8
南方五,http://113.64.94.145:9901/tsfile/live/1019_1.m3u8
南方四,http://113.64.94.145:9901/tsfile/live/1018_1.m3u8
山歌台,http://113.64.94.145:9901/tsfile/live/1123_1.m3u8
广东体育,http://113.64.94.145:9901/tsfile/live/1014_1.m3u8
广东体育,http://113.64.94.145:9901/tsfile/live/1122_1.m3u8
广东公共,http://113.64.94.145:9901/tsfile/live/1013_1.m3u8
广东珠江,http://113.64.94.145:9901/tsfile/live/1011_1.m3u8
收视指南,http://113.64.94.145:9901/tsfile/live/1094_1.m3u8
旅游卫视,http://113.64.94.145:9901/tsfile/live/1084_1.m3u8
明珠,http://113.64.94.145:9901/tsfile/live/1005_1.m3u8
梅州1,http://113.64.94.145:9901/tsfile/live/1125_1.m3u8
梅州1,http://113.64.94.145:9901/tsfile/live/1002_1.m3u8
梅州2,http://113.64.94.145:9901/tsfile/live/1003_1.m3u8
每日影院,http://113.64.94.145:9901/tsfile/live/1046_1.m3u8
热播剧场,http://113.64.94.145:9901/tsfile/live/1092_1.m3u8
空,http://113.64.94.145:9901/tsfile/live/1007_1.m3u8
空,http://113.64.94.145:9901/tsfile/live/1009_1.m3u8
翡翠台,http://113.64.94.145:9901/tsfile/live/1004_1.m3u8
金鹰纪实,http://113.64.94.145:9901/tsfile/live/1069_1.m3u8
魅力时尚,http://113.64.94.145:9901/tsfile/live/1093_1.m3u8
龙祥电影,http://113.64.94.145:9901/tsfile/live/1043_1.m3u8
秒换台879.58,#genre#
CHC动作电影,http://113.64.94.186:9901/tsfile/live/1028_1.m3u8
CHC电影,http://113.64.94.186:9901/tsfile/live/1023_1.m3u8
CCTV1,http://113.64.94.186:9901/tsfile/live/0001_1.m3u8
CCTV2,http://113.64.94.186:9901/tsfile/live/0002_1.m3u8
CCTV3,http://113.64.94.186:9901/tsfile/live/0003_1.m3u8
CCTV4,http://113.64.94.186:9901/tsfile/live/0004_1.m3u8
CCTV5,http://113.64.94.186:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://113.64.94.186:9901/tsfile/live/0016_1.m3u8
CCTV6,http://113.64.94.186:9901/tsfile/live/0006_1.m3u8
CCTV7,http://113.64.94.186:9901/tsfile/live/0007_1.m3u8
CCTV8,http://113.64.94.186:9901/tsfile/live/0008_1.m3u8
CCTV9,http://113.64.94.186:9901/tsfile/live/0009_1.m3u8
CCTV10,http://113.64.94.186:9901/tsfile/live/0010_1.m3u8
CCTV11,http://113.64.94.186:9901/tsfile/live/0011_1.m3u8
CCTV12,http://113.64.94.186:9901/tsfile/live/0012_1.m3u8
CCTV14,http://113.64.94.186:9901/tsfile/live/0014_1.m3u8
CCTV15,http://113.64.94.186:9901/tsfile/live/0015_1.m3u8
CCTV16,http://113.64.94.186:9901/tsfile/live/1008_1.m3u8
湖南卫视,http://113.64.94.186:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://113.64.94.186:9901/tsfile/live/1035_1.m3u8
北京卫视,http://113.64.94.186:9901/tsfile/live/1039_1.m3u8
广东卫视,http://113.64.94.186:9901/tsfile/live/0125_1.m3u8
吉林卫视,http://113.64.94.186:9901/tsfile/live/1051_1.m3u8
辽宁卫视,http://113.64.94.186:9901/tsfile/live/1044_1.m3u8
黑龙江卫视,http://113.64.94.186:9901/tsfile/live/1045_1.m3u8
安徽卫视,http://113.64.94.186:9901/tsfile/live/1038_1.m3u8
东南卫视,http://113.64.94.186:9901/tsfile/live/1050_1.m3u8
天津卫视,http://113.64.94.186:9901/tsfile/live/1040_1.m3u8
江西卫视,http://113.64.94.186:9901/tsfile/live/1042_1.m3u8
山东卫视,http://113.64.94.186:9901/tsfile/live/1041_1.m3u8
山西卫视,http://113.64.94.186:9901/tsfile/live/0118_1.m3u8
河南卫视,http://113.64.94.186:9901/tsfile/live/0139_1.m3u8
河北卫视,http://113.64.94.186:9901/tsfile/live/1049_1.m3u8
湖北卫视,http://113.64.94.186:9901/tsfile/live/0132_1.m3u8
广西卫视,http://113.64.94.186:9901/tsfile/live/0113_1.m3u8
深圳卫视,http://113.64.94.186:9901/tsfile/live/1043_1.m3u8
重庆卫视,http://113.64.94.186:9901/tsfile/live/1048_1.m3u8
贵州卫视,http://113.64.94.186:9901/tsfile/live/1046_1.m3u8
四川卫视,http://113.64.94.186:9901/tsfile/live/1047_1.m3u8
云南卫视,http://113.64.94.186:9901/tsfile/live/0119_1.m3u8
西藏卫视,http://113.64.94.186:9901/tsfile/live/0111_1.m3u8
陕西卫视,http://113.64.94.186:9901/tsfile/live/0136_1.m3u8
青海卫视,http://113.64.94.186:9901/tsfile/live/0140_1.m3u8
兵团卫视,http://113.64.94.186:9901/tsfile/live/0115_1.m3u8
甘肃卫视,http://113.64.94.186:9901/tsfile/live/0141_1.m3u8
新疆卫视,http://113.64.94.186:9901/tsfile/live/0110_1.m3u8
宁夏卫视,http://113.64.94.186:9901/tsfile/live/0112_1.m3u8
内蒙古卫视,http://113.64.94.186:9901/tsfile/live/0109_1.m3u8
CGTN,http://113.64.94.186:9901/tsfile/live/1018_1.m3u8
CHC家庭电影,http://113.64.94.186:9901/tsfile/live/1027_1.m3u8
三沙卫视,http://113.64.94.186:9901/tsfile/live/1020_1.m3u8
上海卫视,http://113.64.94.186:9901/tsfile/live/1037_1.m3u8
上海纪实,http://113.64.94.186:9901/tsfile/live/1055_1.m3u8
中国教育,http://113.64.94.186:9901/tsfile/live/1052_1.m3u8
佳嘉卡通,http://113.64.94.186:9901/tsfile/live/1030_1.m3u8
凤凰中文,http://113.64.94.186:9901/tsfile/live/1019_1.m3u8
南方卫视,http://113.64.94.186:9901/tsfile/live/1015_1.m3u8
厦门卫视,http://113.64.94.186:9901/tsfile/live/0129_1.m3u8
少儿动画,http://113.64.94.186:9901/tsfile/live/1034_1.m3u8
广东公共,http://113.64.94.186:9901/tsfile/live/1012_1.m3u8
广东影视,http://113.64.94.186:9901/tsfile/live/1016_1.m3u8
广东新闻,http://113.64.94.186:9901/tsfile/live/1011_1.m3u8
广东珠江,http://113.64.94.186:9901/tsfile/live/1010_1.m3u8
怀旧剧场,http://113.64.94.186:9901/tsfile/live/1022_1.m3u8
新科动漫,http://113.64.94.186:9901/tsfile/live/1021_1.m3u8
新视觉,http://113.64.94.186:9901/tsfile/live/1057_1.m3u8
旅游卫视,http://113.64.94.186:9901/tsfile/live/0114_1.m3u8
明珠台,http://113.64.94.186:9901/tsfile/live/1009_1.m3u8
江苏卫视搞清,http://113.64.94.186:9901/tsfile/live/1036_1.m3u8
热播剧场,http://113.64.94.186:9901/tsfile/live/1029_1.m3u8
熊猫,http://113.64.94.186:9901/tsfile/live/1054_1.m3u8
相声小品,http://113.64.94.186:9901/tsfile/live/1026_1.m3u8
经济科教,http://113.64.94.186:9901/tsfile/live/1014_1.m3u8
翡翠台,http://113.64.94.186:9901/tsfile/live/1007_1.m3u8
谍战剧场,http://113.64.94.186:9901/tsfile/live/1025_1.m3u8
都市剧场,http://113.64.94.186:9901/tsfile/live/1056_1.m3u8
金鹰卡通,http://113.64.94.186:9901/tsfile/live/1032_1.m3u8
金鹰纪实,http://113.64.94.186:9901/tsfile/live/1053_1.m3u8
风云剧场,http://113.64.94.186:9901/tsfile/live/1024_1.m3u8
秒换台244.49,#genre#
CCTV1,http://113.64.94.211:9901/tsfile/live/1020_1.m3u8
CCTV2,http://113.64.94.211:9901/tsfile/live/1021_1.m3u8
CCTV3,http://113.64.94.211:9901/tsfile/live/1022_1.m3u8
CCTV4,http://113.64.94.211:9901/tsfile/live/1023_1.m3u8
CCTV5,http://113.64.94.211:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://113.64.94.211:9901/tsfile/live/1025_1.m3u8
CCTV7,http://113.64.94.211:9901/tsfile/live/1027_1.m3u8
CCTV8,http://113.64.94.211:9901/tsfile/live/1028_1.m3u8
CCTV9,http://113.64.94.211:9901/tsfile/live/1029_1.m3u8
CCTV10,http://113.64.94.211:9901/tsfile/live/1030_1.m3u8
CCTV11,http://113.64.94.211:9901/tsfile/live/1031_1.m3u8
CCTV12,http://113.64.94.211:9901/tsfile/live/1032_1.m3u8
CCTV13,http://113.64.94.211:9901/tsfile/live/1033_1.m3u8
CCTV14,http://113.64.94.211:9901/tsfile/live/1034_1.m3u8
CCTV15,http://113.64.94.211:9901/tsfile/live/1035_1.m3u8
湖南卫视,http://113.64.94.211:9901/tsfile/live/1048_1.m3u8
浙江卫视,http://113.64.94.211:9901/tsfile/live/1049_1.m3u8
江苏卫视,http://113.64.94.211:9901/tsfile/live/1050_1.m3u8
北京卫视,http://113.64.94.211:9901/tsfile/live/1055_1.m3u8
广东卫视,http://113.64.94.211:9901/tsfile/live/1010_1.m3u8
辽宁卫视,http://113.64.94.211:9901/tsfile/live/1061_1.m3u8
黑龙江卫视,http://113.64.94.211:9901/tsfile/live/1054_1.m3u8
安徽卫视,http://113.64.94.211:9901/tsfile/live/1065_1.m3u8
东南卫视,http://113.64.94.211:9901/tsfile/live/1070_1.m3u8
天津卫视,http://113.64.94.211:9901/tsfile/live/1056_1.m3u8
江西卫视,http://113.64.94.211:9901/tsfile/live/1058_1.m3u8
山东卫视,http://113.64.94.211:9901/tsfile/live/1057_1.m3u8
山西卫视,http://113.64.94.211:9901/tsfile/live/1078_1.m3u8
河北卫视,http://113.64.94.211:9901/tsfile/live/1069_1.m3u8
湖北卫视,http://113.64.94.211:9901/tsfile/live/1060_1.m3u8
广西卫视,http://113.64.94.211:9901/tsfile/live/1074_1.m3u8
深圳卫视,http://113.64.94.211:9901/tsfile/live/1059_1.m3u8
重庆卫视,http://113.64.94.211:9901/tsfile/live/1068_1.m3u8
贵州卫视,http://113.64.94.211:9901/tsfile/live/1062_1.m3u8
四川卫视,http://113.64.94.211:9901/tsfile/live/1063_1.m3u8
陕西卫视,http://113.64.94.211:9901/tsfile/live/1077_1.m3u8
青海卫视,http://113.64.94.211:9901/tsfile/live/1080_1.m3u8
兵团卫视,http://113.64.94.211:9901/tsfile/live/1087_1.m3u8
宁夏卫视,http://113.64.94.211:9901/tsfile/live/1083_1.m3u8
CGTN,http://113.64.94.211:9901/tsfile/live/1036_1.m3u8
上海卫视,http://113.64.94.211:9901/tsfile/live/1051_1.m3u8
上海纪实,http://113.64.94.211:9901/tsfile/live/1067_1.m3u8
中国交通,http://113.64.94.211:9901/tsfile/live/1092_1.m3u8
五华,http://113.64.94.211:9901/tsfile/live/1000_1.m3u8
佳嘉卡通,http://113.64.94.211:9901/tsfile/live/1041_1.m3u8
内蒙古,http://113.64.94.211:9901/tsfile/live/1079_1.m3u8
凤凰卫视,http://113.64.94.211:9901/tsfile/live/1037_1.m3u8
北京纪实卫视,http://113.64.94.211:9901/tsfile/live/1052_1.m3u8
南方一,http://113.64.94.211:9901/tsfile/live/1016_1.m3u8
南方二,http://113.64.94.211:9901/tsfile/live/1017_1.m3u8
南方五,http://113.64.94.211:9901/tsfile/live/1019_1.m3u8
南方四,http://113.64.94.211:9901/tsfile/live/1018_1.m3u8
南方购物,http://113.64.94.211:9901/tsfile/live/1106_1.m3u8
哈哈炫动,http://113.64.94.211:9901/tsfile/live/1040_1.m3u8
国防军事,http://113.64.94.211:9901/tsfile/live/1100_1.m3u8
地理世界,http://113.64.94.211:9901/tsfile/live/1095_1.m3u8
少儿动画,http://113.64.94.211:9901/tsfile/live/1042_1.m3u8
少儿卫视,http://113.64.94.211:9901/tsfile/live/1038_1.m3u8
山歌台,http://113.64.94.211:9901/tsfile/live/1004_1.m3u8
岭南戏曲,http://113.64.94.211:9901/tsfile/live/1102_1.m3u8
广东体育,http://113.64.94.211:9901/tsfile/live/1014_1.m3u8
广东公共,http://113.64.94.211:9901/tsfile/live/1013_1.m3u8
广东国际,http://113.64.94.211:9901/tsfile/live/1015_1.m3u8
广东珠江,http://113.64.94.211:9901/tsfile/live/1011_1.m3u8
广东移动,http://113.64.94.211:9901/tsfile/live/1105_1.m3u8
怀旧剧场,http://113.64.94.211:9901/tsfile/live/1098_1.m3u8
房产,http://113.64.94.211:9901/tsfile/live/1107_1.m3u8
收视指南,http://113.64.94.211:9901/tsfile/live/1091_1.m3u8
本港台,http://113.64.94.211:9901/tsfile/live/1072_1.m3u8
梅县1,http://113.64.94.211:9901/tsfile/live/1007_1.m3u8
梅州1,http://113.64.94.211:9901/tsfile/live/1002_1.m3u8
梅州2,http://113.64.94.211:9901/tsfile/live/1003_1.m3u8
法治,http://113.64.94.211:9901/tsfile/live/1111_1.m3u8
测试,http://113.64.94.211:9901/tsfile/live/1005_1.m3u8
热播剧场,http://113.64.94.211:9901/tsfile/live/1089_1.m3u8
现代教育,http://113.64.94.211:9901/tsfile/live/1104_1.m3u8
珠江电影,http://113.64.94.211:9901/tsfile/live/1046_1.m3u8
电视指南,http://113.64.94.211:9901/tsfile/live/1101_1.m3u8
相声小品,http://113.64.94.211:9901/tsfile/live/1088_1.m3u8
第一剧场,http://113.64.94.211:9901/tsfile/live/1093_1.m3u8
粤荟萃,http://113.64.94.211:9901/tsfile/live/1108_1.m3u8
经典电影,http://113.64.94.211:9901/tsfile/live/1045_1.m3u8
综合卫视,http://113.64.94.211:9901/tsfile/live/1085_1.m3u8
翡翠台,http://113.64.94.211:9901/tsfile/live/1006_1.m3u8
英语辅导,http://113.64.94.211:9901/tsfile/live/1103_1.m3u8
谍战剧场,http://113.64.94.211:9901/tsfile/live/1047_1.m3u8
足球,http://113.64.94.211:9901/tsfile/live/1109_1.m3u8
野外,http://113.64.94.211:9901/tsfile/live/1110_1.m3u8
金鹰卡通,http://113.64.94.211:9901/tsfile/live/1039_1.m3u8
金鹰纪实,http://113.64.94.211:9901/tsfile/live/1064_1.m3u8
风云足球,http://113.64.94.211:9901/tsfile/live/1094_1.m3u8
风云音乐,http://113.64.94.211:9901/tsfile/live/1096_1.m3u8
魅力时尚,http://113.64.94.211:9901/tsfile/live/1090_1.m3u8
